# fitted for a_NLH (0.5 0.5)
# Z1 Z2 a b c d relerr(%)
 1  1  1.52767 -1.97049 10.85968 -1.09508  1.59097
 1  2  0.12768 -1.88546  7.54957 -1.12310  1.46180
 1  3  0.23211 -1.95141  8.35752 -0.97014  1.52620
 1  4  0.27715 -1.93490  7.73040 -0.97115  2.37032
 1  5  0.32799 -1.93291  7.65989 -0.98715  2.55321
 1  6  0.37565 -1.93474  7.81350 -1.00528  2.73079
 1  7  0.41594 -1.93412  8.00163 -1.02142  2.85543
 1  8  0.45710 -1.93252  8.21813 -1.03529  2.95122
 1  9  0.48888 -1.93252  8.48386 -1.05048  2.99864
 1 10  0.24126 -1.79513  6.33004 -1.18090  4.07697
 1 11  0.09014 -1.96498  7.36803 -1.16772  2.35324
 1 12  0.10793 -1.93736  7.77155 -1.08854  0.94308
 1 13  0.13011 -1.93416  7.98680 -1.05236  1.06256
 1 14  0.16069 -1.92853  8.12489 -1.02851  1.43408
 1 15  0.17969 -1.92585  8.14284 -1.01970  1.68551
 1 16  0.20165 -1.92156  8.19841 -1.00992  1.87261
 1 17  0.22302 -1.91745  8.26406 -1.00266  2.17631
 1 18  0.43712 -1.71825  6.97113 -0.91724  2.59799
 1 19  0.14606 -1.86060  7.29212 -1.04728  4.91841
 1 20  0.17413 -1.86338  7.41094 -1.03487  4.55297
 1 21  0.20960 -1.86331  7.51751 -1.02851  4.45564
 1 22  0.21955 -1.86596  7.56522 -1.03523  4.46266
 1 23  0.23151 -1.86638  7.61562 -1.04015  4.46603
 1 24  0.24184 -1.86693  7.66995 -1.04538  4.46793
 1 25  0.25304 -1.86666  7.71467 -1.05210  4.63967
 1 26  0.26327 -1.86638  7.77299 -1.05835  4.66878
 1 27  0.27498 -1.86531  7.84081 -1.06242  4.68184
 1 28  0.27799 -1.86570  7.92293 -1.06705  4.68749
 1 29  0.26975 -1.86532  7.93658 -1.07550  4.62357
 1 30  0.22658 -1.84713  7.71577 -1.08842  4.30808
 1 31  0.16634 -1.88113  7.85611 -1.10365  4.05924
 1 32  0.15677 -1.89598  8.03213 -1.09597  3.35732
 1 33  0.15802 -1.89928  8.15831 -1.08734  3.11884
 1 34  0.16070 -1.90166  8.27191 -1.07868  2.75419
 1 35  0.16758 -1.90063  8.36145 -1.06889  2.60174
 1 36  0.29372 -1.74547  7.67887 -1.00335  1.45703
 1 37  0.14837 -1.82558  7.82547 -1.06149  4.05614
 1 38  0.15408 -1.83884  7.98278 -1.04336  3.25824
 1 39  0.16670 -1.85074  8.13462 -1.03333  3.13096
 1 40  0.17520 -1.85390  8.19998 -1.02744  3.04242
 1 41  0.18476 -1.85465  8.25320 -1.02253  3.09002
 1 42  0.19683 -1.85353  8.30294 -1.01733  3.13814
 1 43  0.20739 -1.85302  8.31573 -1.01565  3.05429
 1 44  0.22219 -1.84960  8.35363 -1.01021  3.14509
 1 45  0.23244 -1.84782  8.38820 -1.00706  3.20735
 1 46  0.24955 -1.83742  8.36495 -1.00123  3.32571
 1 47  0.26067 -1.82516  8.30647 -0.99851  3.54512
 1 48  0.26976 -1.79411  8.11902 -0.99645  3.86687
 1 49  0.21854 -1.81529  8.16091 -1.01758  4.32669
 1 50  0.18274 -1.83986  8.23543 -1.02931  4.18787
 1 51  0.17486 -1.84852  8.29436 -1.02405  3.75152
 1 52  0.16882 -1.85495  8.33750 -1.02288  3.57311
 1 53  0.16624 -1.85904  8.37416 -1.02029  3.41422
 1 54  0.25118 -1.74859  7.90951 -0.96727  1.84635
 1 55  0.21752 -1.77022  7.95016 -0.99233  3.67325
 1 56  0.18461 -1.81479  8.12251 -1.00472  3.34225
 1 57  0.17105 -1.82114  8.16300 -0.99167  3.13656
 1 58  0.33563 -1.72691  7.81131 -0.98062  4.44476
 1 59  0.35767 -1.72106  7.80445 -0.98021  4.54760
 1 60  0.37979 -1.71537  7.79812 -0.97996  4.66782
 1 61  0.40111 -1.71012  7.79517 -0.98008  4.80326
