# Z1 Z2 a b c d relerr(%)
 1  1  0.85154  0.34878  0.00857  0.45447  1.21741
 1  2  1.20900  0.00590 -0.07371  0.41927  3.38377
 1  3  0.89538  0.04348  0.00379  0.11643  1.90694
 1  4  1.00532  0.05280  0.01051  0.15603  1.34543
 1  5  1.05260  0.06359  0.00969  0.20753  1.03412
 1  6  1.06698  0.07338  0.00722  0.25839  0.72691
 1  7  1.07634  0.08062  0.00634  0.30716  0.63351
 1  8  1.08096  0.08752  0.00648  0.35423  0.66772
 1  9  1.08081  0.09237  0.00539  0.40313  0.72137
 1 10  1.93413  0.00477 -0.09599  0.89304  2.91361
 1 11  1.37212  0.00875 -0.10723  0.55717  3.25615
 1 12  1.08940  0.01028 -0.06026  0.30039  3.22359
 1 13  1.02054  0.01520 -0.03306  0.23643  2.85543
 1 14  0.99040  0.02094 -0.01513  0.20991  2.43171
 1 15  0.98774  0.02448 -0.00838  0.20550  2.21225
 1 16  0.97866  0.02813 -0.00129  0.19959  2.02407
 1 17  0.97279  0.03110  0.00298  0.19984  1.75861
 1 18  1.18680  0.02587  0.12103  0.22044  1.92565
 1 19  1.18266  0.00752 -0.04856  0.28410  1.07990
 1 20  1.16838  0.01164 -0.02682  0.28469  1.02832
 1 21  1.16587  0.01626 -0.01317  0.30061  1.01580
 1 22  1.17421  0.01750 -0.01406  0.32241  0.93228
 1 23  1.18157  0.01871 -0.01383  0.34290  0.88894
 1 24  1.18794  0.01971 -0.01409  0.36305  0.85409
 1 25  1.20011  0.02059 -0.01485  0.38892  0.84186
 1 26  1.20878  0.02131 -0.01564  0.41317  0.84633
 1 27  1.21296  0.02212 -0.01535  0.43329  0.86676
 1 28  1.21054  0.02190 -0.01742  0.44758  0.85560
 1 29  1.21663  0.02014 -0.02206  0.46212  0.77124
 1 30  1.23095  0.01103 -0.04120  0.45062  0.72821
 1 31  1.17193  0.00903 -0.06176  0.41683  1.15605
 1 32  1.10913  0.01029 -0.05451  0.37369  1.45068
 1 33  1.07378  0.01111 -0.04871  0.34849  1.48277
 1 34  1.04210  0.01210 -0.04221  0.32510  1.55056
 1 35  1.01868  0.01325 -0.03474  0.30567  1.51325
 1 36  1.05950  0.00943  0.05406  0.24305  1.64745
 1 37  1.06209  0.00321 -0.07850  0.27437  1.31311
 1 38  1.02370  0.00573 -0.03955  0.24354  1.42427
 1 39  1.00410  0.00853 -0.02177  0.23596  1.41030
 1 40  0.99419  0.01010 -0.01344  0.23071  1.41161
 1 41  0.98872  0.01138 -0.00802  0.22909  1.39209
 1 42  0.98422  0.01271 -0.00232  0.22839  1.39090
 1 43  0.99504  0.01378 -0.00027  0.23744  1.79572
 1 44  0.99229  0.01507  0.00522  0.23791  1.74869
 1 45  0.98962  0.01597  0.00835  0.23899  1.71892
 1 46  0.99583  0.01632  0.01408  0.24174  1.70709
 1 47  1.01002  0.01519  0.01490  0.24924  1.69813
 1 48  1.04056  0.01076  0.01111  0.25754  1.60108
 1 49  1.03762  0.00807 -0.01887  0.26362  1.38772
 1 50  1.01785  0.00776 -0.03014  0.25479  1.26193
 1 51  0.99272  0.00881 -0.02063  0.23256  1.25485
 1 52  0.97922  0.00924 -0.01832  0.22271  1.23656
 1 53  0.96813  0.00975 -0.01508  0.21382  1.25783
 1 54  0.98443  0.01081  0.08229  0.15971  1.48007
 1 55  1.01971  0.00538 -0.00376  0.20558  1.45912
 1 56  0.98935  0.00767 -0.00118  0.20008  1.22470
