# Z1 Z2     a1        b1       a2       b2       a3       b3  rmax[A]    error
 1  1  8.01765   0.95478  2.86333  0.00245  0.00000  1.00000  0.38100  0.00240
 1  2  0.83627   5.32293  1.22476  0.29087  0.00000  1.00000  2.13292  0.01341
 1  3  0.50197   9.27145  9.99990  0.18558  0.00000  1.00000  0.94000  0.01958
 1  4  0.35823  12.18129  9.99950  0.23251  9.99990  0.23246  0.89500  0.01016
 1  5  0.30105  13.72119  9.99990  0.41903  0.00000  1.00000  0.80300  0.00628
 1  6  0.22568  17.08723  2.12902  1.31978  0.00000  1.00000  0.72200  0.00616
 1  7  0.17831  20.47329  1.54993  1.96093  0.00000  1.00000  0.67200  0.00573
 1  8  0.14476  23.93850  1.37948  2.47500  0.00000  1.00000  0.63300  0.00501
 1  9  0.10966  29.30336  1.19423  3.20915  0.00000  1.00000  0.60100  0.00528
 1 10  0.95136   5.48792  9.99990  0.04724  0.00000  1.00000  2.04000  0.02758
 1 11  0.88911   6.14685  0.00000  1.00000  0.00000  1.00000  1.17400  0.01920
 1 12  0.76151   7.41403  9.99990  0.13931  0.00000  1.00000  1.22700  0.01936
 1 13  0.68436   8.48185  9.99990  0.18595  0.00000  1.00000  1.11600  0.01639
 1 14  0.61738   9.59603  9.99990  0.23622  0.00000  1.00000  1.01700  0.01364
 1 15  0.58018  10.30190  9.99990  0.26891  0.00000  1.00000  0.96200  0.00989
 1 16  0.54344  11.12681  6.48234  0.38546  0.00000  1.00000  0.91700  0.00892
 1 17  0.48880  12.42983  2.02210  0.89496  0.00000  1.00000  0.87900  0.00838
 1 18  0.26402  20.95025  0.73014  3.52881  0.00000  1.00000  1.98000  0.01685
 1 19  0.20983  24.83674  0.72895  4.19146  0.00000  1.00000  1.44400  0.01825
 1 20  0.21413  24.42243  0.73191  4.15116  0.00000  1.00000  1.28900  0.01180
 1 21  0.20100  26.27925  0.75771  4.20967  0.00000  1.00000  1.16300  0.01224
 1 22  0.18368  28.28697  0.77508  4.40733  0.00000  1.00000  1.11100  0.01157
 1 23  0.17043  30.07879  0.78981  4.57803  0.00000  1.00000  1.07100  0.01036
 1 24  0.15931  31.73919  0.80207  4.74399  0.00000  1.00000  1.03700  0.00949
 1 25  0.14439  34.51316  0.81759  4.94690  0.00000  1.00000  1.00800  0.00915
 1 26  0.13320  36.93833  0.82953  5.13444  0.00000  1.00000  0.98300  0.00877
 1 27  0.12566  38.85300  0.83867  5.29131  0.00000  1.00000  0.96100  0.00812
 1 28  0.12137  39.83360  0.84154  5.45067  0.00000  1.00000  0.94800  0.00788
 1 29  0.11054  42.91933  0.83347  5.75235  9.99990  0.05782  0.96100  0.00800
