# fitted for a_NLH (0.5 0.5)
# Z1 Z2 a b c d rms_err(%) max_err(%)
 1  1  2.98288 -1.97252 15.92988 -1.09931  1.67  2.86
 1  2  0.23536 -1.88967 11.09491 -1.12524  1.45  3.32
 1  3  0.44017 -1.95407 11.60433 -0.97220  1.64  2.87
 1  4  0.51198 -1.93901 10.69413 -0.97522  2.51  4.45
 1  5  0.59861 -1.93729 10.60649 -0.99212  2.69  4.96
 1  6  0.67956 -1.93921 10.83683 -1.01088  2.84  5.31
 1  7  0.74567 -1.93872 11.11157 -1.02744  2.97  5.44
 1  8  0.81232 -1.93727 11.42158 -1.04165  3.07  5.52
 1  9  0.86272 -1.93730 11.80595 -1.05692  3.11  5.50
 1 10  0.35497 -1.81363  9.13505 -1.19333  4.12  7.56
 1 11  0.16163 -1.96706 10.52847 -1.16866  2.27  5.28
 1 12  0.18871 -1.94092 10.80798 -1.09057  1.03  1.87
 1 13  0.22622 -1.93779 10.95664 -1.05484  1.14  2.41
 1 14  0.27738 -1.93240 11.04171 -1.03142  1.53  3.11
 1 15  0.30846 -1.92983 11.01394 -1.02282  1.74  3.60
 1 16  0.34392 -1.92573 11.03629 -1.01331  1.99  4.05
 1 17  0.37757 -1.92197 11.08270 -1.00645  2.35  4.58
 1 18  0.67059 -1.72772  9.15099 -0.92766  3.09  6.60
 1 19  0.22527 -1.87307  9.85295 -1.05640  5.11  9.26
 1 20  0.27188 -1.87432  9.96718 -1.04367  4.90  8.50
 1 21  0.32842 -1.87358 10.08109 -1.03761  4.95  8.28
 1 22  0.34371 -1.87604 10.14782 -1.04433  4.67  8.31
 1 23  0.36159 -1.87640 10.21416 -1.04937  4.67  8.28
 1 24  0.37684 -1.87691 10.28688 -1.05467  4.67  8.25
 1 25  0.39281 -1.87673 10.35120 -1.06161  4.71  8.25
 1 26  0.40723 -1.87653 10.43286 -1.06801  4.74  8.24
 1 27  0.42386 -1.87554 10.52205 -1.07226  4.75  8.19
 1 28  0.42727 -1.87596 10.63093 -1.07684  4.75  8.21
 1 29  0.41308 -1.87567 10.65683 -1.08502  4.68  8.07
 1 30  0.34128 -1.85833 10.37560 -1.09720  4.49  7.63
 1 31  0.25659 -1.89025 10.58467 -1.10974  4.30  7.52
 1 32  0.24659 -1.90308 10.78740 -1.10056  3.56  6.78
 1 33  0.24944 -1.90586 10.91910 -1.09162  3.32  6.32
 1 34  0.25441 -1.90774 11.03368 -1.08270  2.94  5.81
 1 35  0.26515 -1.90655 11.11236 -1.07292  2.79  5.38
 1 36  0.44166 -1.75236 10.03587 -1.00864  1.78  3.49
 1 37  0.21383 -1.83940 10.35049 -1.06982  4.18  7.23
 1 38  0.22899 -1.84953 10.50119 -1.05014  3.50  6.35
 1 39  0.25133 -1.86003 10.66554 -1.03963  3.37  6.17
 1 40  0.26531 -1.86262 10.72615 -1.03355  3.28  6.07
 1 41  0.27997 -1.86315 10.77373 -1.02868  3.33  6.17
 1 42  0.29814 -1.86190 10.81652 -1.02359  3.39  6.30
 1 43  0.31434 -1.86114 10.82195 -1.02180  3.40  6.34
 1 44  0.33599 -1.85775 10.84938 -1.01659  3.50  6.52
 1 45  0.35086 -1.85597 10.87822 -1.01359  3.57  6.64
 1 46  0.37407 -1.84595 10.82655 -1.00826  3.71  6.97
 1 47  0.38654 -1.83444 10.73773 -1.00631  3.95  7.47
 1 48  0.39090 -1.80498 10.48537 -1.00551  4.08  7.77
 1 49  0.31543 -1.82690 10.57678 -1.02648  4.48  7.87
 1 50  0.26701 -1.85049 10.68894 -1.03689  4.41  7.80
 1 51  0.25881 -1.85775 10.74237 -1.03047  3.95  6.85
 1 52  0.25134 -1.86352 10.78623 -1.02874  3.75  6.75
 1 53  0.24846 -1.86713 10.81862 -1.02578  3.59  6.52
 1 54  0.37018 -1.75486 10.08629 -0.97194  2.11  3.78
 1 55  0.30532 -1.78288 10.19320 -1.00149  4.03  8.03
 1 56  0.26765 -1.82475 10.43194 -1.01164  3.60  6.52
 1 57  0.24951 -1.83047 10.44153 -0.99806  3.40  6.47
 1 58  0.45540 -1.74210  9.99494 -0.99403  4.91 10.63
 1 59  0.48272 -1.73661  9.98458 -0.99432  5.03 10.95
 1 60  0.50960 -1.73132  9.97579 -0.99482  5.16 11.32
 1 61  0.53492 -1.72653  9.97234 -0.99574  5.31 11.71
 1 62  0.55954 -1.72204  9.97092 -0.99683  5.43 12.05
 1 63  0.58263 -1.71799  9.97376 -0.99826  5.54 12.36
 1 64  0.43906 -1.77434 10.35484 -1.01894  4.29  8.32
 1 65  0.62947 -1.71026  9.98747 -1.00034  5.76 12.98
 1 66  0.65274 -1.70664  9.99727 -1.00096  5.87 13.28
 1 67  0.67163 -1.70390 10.01399 -1.00206  5.95 13.51
 1 68  0.68051 -1.70271 10.04431 -1.00414  5.95 13.53
 1 69  0.63274 -1.71012 10.13272 -1.01484  5.81 12.96
 1 70  0.35295 -1.76265 10.36517 -1.06846  5.80 10.01
 1 71  0.35070 -1.80422 10.68852 -1.04929  4.55  7.84
 1 72  0.34161 -1.81549 10.81670 -1.04986  4.35  7.39
 1 73  0.32913 -1.82375 10.89335 -1.05093  4.23  7.05
 1 74  0.32587 -1.82864 10.95877 -1.04939  4.08  6.77
 1 75  0.32835 -1.83126 11.01317 -1.04644  3.93  6.54
 1 76  0.33540 -1.83203 11.05475 -1.04272  3.78  6.39
 1 77  0.33809 -1.83329 11.09478 -1.04038  3.69  6.31
 1 78  0.35554 -1.82370 11.05039 -1.03362  3.57  6.28
 1 79  0.36649 -1.81315 10.98826 -1.02953  3.59  6.53
 1 80  0.39553 -1.77971 10.79346 -1.02071  3.47  6.22
 1 81  0.33914 -1.79301 10.86220 -1.03441  4.02  7.27
 1 82  0.27320 -1.81900 10.97419 -1.04563  4.10  6.93
 1 83  0.25418 -1.83010 11.06115 -1.04519  3.89  6.55
 1 84  0.23925 -1.83812 11.11224 -1.04519  3.77  6.56
 1 85  0.23067 -1.84352 11.15646 -1.04296  3.59  6.41
 1 86  0.31503 -1.75453 10.65619 -1.00305  2.07  3.98
 1 87  0.33661 -1.73378 10.58272 -1.00592  3.23  6.14
 1 88  0.20959 -1.81608 10.95644 -1.02588  3.01  4.94
 1 89  0.21521 -1.81814 10.94669 -1.02069  2.83  4.92
 1 90  0.21672 -1.82217 10.97480 -1.01634  2.73  4.90
 1 91  0.31925 -1.80043 10.96952 -1.00862  3.15  5.85
 1 92  0.34190 -1.79586 10.97542 -1.00447  3.20  6.07
 2  2  0.39446 -1.84248  9.47887 -0.94611  2.56  4.67
 2  3  1.52117 -1.61552  6.23832 -0.81195  3.03  8.57
 2  4  0.15308 -1.84802  7.19064 -1.18632  3.37  6.21
 2  5  1.54882 -1.62943  5.82669 -0.95332  3.39  9.04
 2  6  1.62938 -1.66280  6.66068 -0.94815  2.01  5.34
 2  7  1.57760 -1.70147  7.95919 -0.98794  2.13  5.85
 2  8  0.80336 -1.85644  9.10891 -1.10281  1.99  3.76
 2  9  0.72504 -1.74629  8.97526 -1.08199  1.62  2.86
 2 10  0.28869 -1.83194 10.07823 -1.04957  1.08  2.20
 2 11  0.56624 -1.72355  9.17334 -0.94327  1.34  2.17
 2 12  0.97377 -1.63477  8.58545 -0.88199  2.34  5.19
 2 13  0.64639 -1.71051  8.91575 -0.91373  1.30  2.09
 2 14  0.79541 -1.70191  8.41006 -0.88155  1.62  2.94
 2 15  1.34412 -1.64119  5.28628 -0.91312  3.54  9.35
 2 16  1.89507 -1.60088  5.13980 -0.86185  4.26 10.06
 2 17  0.79845 -1.68033  8.57692 -0.92234  2.90  6.13
 2 18  0.25881 -1.79234  9.08587 -1.03372  2.91  5.35
 2 19  0.34619 -1.74245  8.46822 -1.00085  1.13  1.89
 2 20  0.99488 -1.60954  8.03680 -0.87961  3.21  8.08
 2 21  0.84940 -1.66147  8.23878 -0.88093  3.64  9.61
 2 22  0.85357 -1.67885  8.28323 -0.87166  3.02  7.28
 2 23  0.75879 -1.70648  8.42658 -0.89828  1.88  3.78
 2 24  0.63887 -1.73649  8.64525 -0.93634  2.52  4.03
 2 25  0.69250 -1.73703  8.47744 -0.93607  2.69  4.41
 2 26  0.73313 -1.74625  8.87249 -0.94374  2.47  4.24
 2 27  0.78598 -1.74846  8.85937 -0.94470  2.52  4.20
