# fitted for a_NLH (0.5 0.5)
# Z1 Z2 a b c d rms_err(%) max_err(%)
 1  1  0.60702  0.49218  0.00758  0.55415  1.21  2.13
 1  2  0.84787  0.00950 -0.06005  0.48373  3.47  6.03
 1  3  0.63770  0.06096  0.00420  0.13612  1.91  3.92
 1  4  0.72173  0.07297  0.00976  0.18556  1.35  3.04
 1  5  0.76008  0.08746  0.00882  0.24687  1.03  2.41
 1  6  0.77446  0.10067  0.00638  0.30692  0.72  1.73
 1  7  0.78497  0.11024  0.00546  0.36446  0.63  1.36
 1  8  0.79192  0.11922  0.00549  0.42016  0.66  1.23
 1  9  0.79487  0.12553  0.00442  0.47735  0.71  1.27
 1 10  1.42141  0.00725 -0.08702  1.04009  2.92  6.16
 1 11  0.99788  0.01330 -0.09635  0.63243  3.37  5.93
 1 12  0.79810  0.01493 -0.05339  0.34115  3.27  6.05
 1 13  0.75144  0.02135 -0.02902  0.26916  2.87  4.98
 1 14  0.73232  0.02878 -0.01297  0.23998  2.43  4.76
 1 15  0.73260  0.03332 -0.00694  0.23545  2.21  4.65
 1 16  0.72812  0.03792 -0.00058  0.22944  2.03  4.46
 1 17  0.72584  0.04163  0.00311  0.23049  1.77  3.90
 1 18  0.90077  0.02967  0.10711  0.27224  2.06  3.65
 1 19  0.88431  0.01045 -0.04529  0.32527  1.09  2.29
 1 20  0.87655  0.01575 -0.02568  0.32729  1.03  2.39
 1 21  0.87755  0.02167 -0.01338  0.34707  1.01  2.30
 1 22  0.88532  0.02330 -0.01420  0.37193  0.92  2.16
 1 23  0.89246  0.02485 -0.01403  0.39545  0.88  2.06
 1 24  0.89879  0.02614 -0.01432  0.41852  0.84  1.94
 1 25  0.90957  0.02727 -0.01512  0.44823  0.83  1.83
 1 26  0.91762  0.02819 -0.01593  0.47599  0.83  1.71
 1 27  0.92234  0.02921 -0.01574  0.49917  0.85  1.63
 1 28  0.92156  0.02893 -0.01766  0.51502  0.84  1.53
 1 29  0.92681  0.02668 -0.02187  0.53053  0.75  1.39
 1 30  0.93622  0.01493 -0.03873  0.51360  0.74  1.14
 1 31  0.89000  0.01252 -0.05684  0.47166  1.21  2.02
 1 32  0.84305  0.01417 -0.04981  0.42199  1.50  2.64
 1 33  0.81729  0.01522 -0.04444  0.39333  1.53  2.68
 1 34  0.79434  0.01646 -0.03842  0.36689  1.59  2.87
 1 35  0.77773  0.01787 -0.03156  0.34516  1.54  2.84
 1 36  0.81336  0.01192  0.05220  0.27864  1.65  2.79
 1 37  0.81279  0.00448 -0.07286  0.31003  1.34  2.59
 1 38  0.78524  0.00769 -0.03707  0.27601  1.43  2.85
 1 39  0.77154  0.01126 -0.02066  0.26798  1.41  3.11
 1 40  0.76498  0.01322 -0.01295  0.26232  1.41  3.15
 1 41  0.76177  0.01479 -0.00801  0.26078  1.40  3.18
 1 42  0.75934  0.01642 -0.00281  0.26039  1.40  3.18
 1 43  0.76827  0.01777 -0.00081  0.27054  1.80  3.97
 1 44  0.76725  0.01931  0.00416  0.27161  1.76  3.77
 1 45  0.76611  0.02038  0.00699  0.27313  1.73  3.61
 1 46  0.77212  0.02068  0.01206  0.27698  1.72  3.40
 1 47  0.78413  0.01914  0.01238  0.28591  1.71  3.33
 1 48  0.80836  0.01352  0.00830  0.29495  1.62  3.36
 1 49  0.80490  0.01044 -0.01897  0.29927  1.39  3.13
 1 50  0.78918  0.01019 -0.02868  0.28785  1.27  2.87
 1 51  0.77032  0.01151 -0.01945  0.26266  1.26  2.73
 1 52  0.76033  0.01206 -0.01709  0.25133  1.24  2.60
 1 53  0.75230  0.01269 -0.01398  0.24124  1.26  2.55
 1 54  0.76769  0.01323  0.07916  0.18279  1.48  2.54
 1 55  0.79562  0.00674 -0.00666  0.23435  1.46  2.63
 1 56  0.77170  0.00977 -0.00213  0.22711  1.22  2.20
 1 57  0.75359  0.01072  0.00882  0.19142  1.48  2.54
 1 58  0.85732  0.00583 -0.02151  0.31519  1.78  3.86
 1 59  0.86717  0.00556 -0.02641  0.33200  1.80  3.92
 1 60  0.87707  0.00523 -0.03265  0.34915  1.83  4.01
 1 61  0.88656  0.00484 -0.04022  0.36633  1.85  4.11
 1 62  0.89548  0.00448 -0.04775  0.38303  1.87  4.15
 1 63  0.90369  0.00412 -0.05578  0.39929  1.87  4.17
 1 64  0.83954  0.00902 -0.00946  0.34662  0.97  1.77
 1 65  0.91827  0.00349 -0.07182  0.43003  1.91  4.25
 1 66  0.92446  0.00321 -0.07953  0.44407  1.94  4.31
 1 67  0.92889  0.00298 -0.08667  0.45623  1.95  4.34
 1 68  0.92891  0.00284 -0.09109  0.46317  1.91  4.23
 1 69  0.91573  0.00271 -0.09486  0.45465  1.62  3.51
 1 70  0.86554  0.00163 -0.13657  0.39761  1.47  2.35
 1 71  0.81926  0.00711 -0.04028  0.35964  0.62  1.31
 1 72  0.80497  0.00833 -0.03359  0.35232  0.63  1.32
 1 73  0.79494  0.00889 -0.03175  0.34480  0.66  1.41
 1 74  0.78533  0.00962 -0.02753  0.33649  0.70  1.47
 1 75  0.77695  0.01047 -0.02217  0.32853  0.75  1.53
 1 76  0.76997  0.01139 -0.01627  0.32158  0.80  1.57
 1 77  0.76380  0.01198 -0.01292  0.31575  0.83  1.59
 1 78  0.76244  0.01219 -0.00542  0.30837  0.89  1.60
 1 79  0.76479  0.01138 -0.00346  0.30540  0.94  1.71
 1 80  0.77393  0.00852 -0.00069  0.29829  1.04  1.87
 1 81  0.77366  0.00628 -0.03027  0.30321  1.00  1.88
 1 82  0.75820  0.00578 -0.04396  0.28850  1.07  2.11
 1 83  0.74477  0.00625 -0.03992  0.27384  1.23  2.39
 1 84  0.73577  0.00642 -0.03908  0.26330  1.35  2.56
 1 85  0.72642  0.00677 -0.03513  0.25149  1.43  2.68
 1 86  0.72198  0.00668  0.04207  0.19334  1.74  3.05
 1 87  0.74367  0.00298 -0.02579  0.21926  1.56  2.53
 1 88  0.70774  0.00482 -0.02388  0.19624  1.68  3.03
 1 89  0.70557  0.00570 -0.01323  0.19028  1.70  2.94
 1 90  0.70122  0.00650 -0.00580  0.18376  1.71  2.91
 1 91  0.72919  0.00925  0.00929  0.23061  1.40  2.32
 1 92  0.73007  0.01005  0.01518  0.23383  1.34  2.24
 2  2  0.81463  0.03888  0.06679  0.15819  1.81  3.66
 2  3  0.98364  0.54318  0.39626 -0.31919  1.81  5.68
 2  4  1.54846  0.00270 -0.14168  0.73232  3.06  5.35
 2  5  1.73770  0.12351  0.21929  0.76152  3.98  8.54
 2  6  1.33959  0.26035  0.27316  0.43962  1.77  3.84
 2  7  1.13663  0.27258  0.25962  0.41709  2.03  3.72
 2  8  1.26046  0.12386  0.05644  0.77671  1.79  3.93
 2  9  1.25937  0.02639  0.05291  0.78020  1.79  4.11
 2 10  0.83159  0.01297  0.01248  0.30214  2.80  4.85
 2 11  0.81611  0.06320  0.22770  0.13434  2.12  4.14
 2 12  0.81294  0.11953  0.31877  0.05903  2.49  4.59
 2 13  0.82174  0.07635  0.24014  0.10381  1.84  3.49
 2 14  0.83669  0.12848  0.27305  0.04310  1.29  2.93
 2 15  1.45243  0.44716  0.35182  0.03703  2.04  4.23
 2 16  1.36353  0.73650  0.39907 -0.22115  2.64  7.70
 2 17  0.99123  0.02498  0.12935  0.33295  1.89  3.45
 2 18  0.90588  0.00715  0.00441  0.26980  1.33  2.19
 2 19  0.95656  0.01649  0.11625  0.24200  2.55  4.54
 2 20  0.81024  0.39635  0.42385 -0.26882  2.27  4.45
 2 21  0.75606  0.45399  0.40748 -0.38430  3.20  5.87
 2 22  0.75242  0.37728  0.38303 -0.30526  2.84  5.95
 2 23  0.81469  0.17807  0.30810 -0.02873  2.06  4.14
 2 24  0.91294  0.06850  0.19652  0.20236  1.08  2.68
 2 25  0.94219  0.07650  0.19515  0.22437  0.77  1.97
 2 26  0.93241  0.05980  0.15267  0.28617  0.87  2.05
 2 27  0.94208  0.06359  0.14650  0.30783  0.77  1.60
 2 28  0.90584  0.05723  0.13589  0.30917  0.88  2.06
 2 29  0.97152  0.02951  0.10646  0.38493  1.74  3.71
 2 30  1.06620  0.02155  0.14959  0.45526  2.84  4.92
 2 31  0.96830  0.01425  0.08465  0.38487  2.44  4.25
 2 32  0.83566  0.04734  0.20154  0.21464  2.50  4.48
 2 33  0.72449  0.23560  0.35362 -0.11031  2.73  4.24
 2 34  1.13830  0.05432  0.21226  0.19593 28.01 50.32
 2 35  0.91271  0.01920  0.14577  0.30943  2.93  5.04
 2 36  0.83356  0.00340 -0.02110  0.26433  1.95  3.42
 2 37  0.81394  0.01035  0.10846  0.19921  2.22  3.86
 2 38  0.82415  0.09596  0.35212  0.09060  4.46  6.50
 2 39  0.76732  0.05061  0.23732  0.09434  2.65  5.06
 2 40  0.77516  0.04749  0.20739  0.09996  2.13  4.19
 2 41  0.76980  0.04637  0.17833  0.12032  1.99  4.41
 2 42  0.81228  0.01427  0.03707  0.25003  1.67  3.56
 2 43  0.82318  0.01861  0.05482  0.25652  2.27  4.56
 2 44  0.80957  0.01673  0.03770  0.26017  1.62  3.50
 2 45  0.80979  0.01903  0.05389  0.25824  1.63  3.47
 2 46  0.81058  0.02024  0.06821  0.25016  1.57  3.24
 2 47  0.80870  0.03363  0.17938  0.17436  1.67  3.12
 2 48  0.82728  0.02785  0.19068  0.19072  1.87  3.93
 2 49  0.81521  0.02111  0.15157  0.18704  1.52  2.69
 2 50  0.78221  0.04609  0.22282  0.11226  2.53  4.97
 2 51  0.69330  0.22313  0.36653 -0.17235  2.74  4.36
 2 52  0.64457  0.95939  0.45277 -0.96968  2.84  4.10
 2 53  0.83915  0.03293  0.21658  0.16470  3.12  4.94
 2 54  0.84142  0.00552  0.05244  0.21251  1.83  3.79
