# SRIM-2013 Electronic stopping power table for Z1=69
# Converted from a table provided by H.Hofsaess
# units of energy:         eV
# units of stopping power: eV A^2
#      \Z2 1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92      
# energy\  H       He      Li      Be      B       C       N       O       F       Ne      Na      Mg      Al      Si      P       S       Cl      Ar      K       Ca      Sc      Ti      V       Cr      Mn      Fe      Co      Ni      Cu      Zn      Ga      Ge      As      Se      Br      Kr      Rb      Sr      Y       Zr      Nb      Mo      Tc      Ru      Rh      Pd      Ag      Cd      In      Sn      Sb      Te      I       Xe      Cs      Ba      La      Ce      Pr      Nd      Pm      Sm      Eu      Gd      Tb      Dy      Ho      Er      Tm      Yb      Lu      Hf      Ta      W       Re      Os      Ir      Pt      Au      Hg      Tl      Pb      Bi      Po      At      Rn      Fr      Ra      Ac      Th      Pa      U       
   0.00    0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     
   10.0    1.365   1.664   2.131   4.354   5.172   6.626   4.371   3.600   4.081   4.067   7.411   9.083   8.476   8.101   8.861   6.971   2.099   4.976   6.286   6.333   9.733   8.896   9.492   7.357   7.017   7.704   7.034   7.263   6.945   6.545   7.022   9.046   10.45   9.152   3.142   4.596   11.50   11.51   11.68   9.128   13.57   12.78   11.52   8.183   7.129   10.86   10.73   9.976   8.255   13.73   12.13   9.832   12.89   3.750   14.88   15.30   15.74   13.05   11.74   12.23   12.35   10.85   10.48   15.54   12.31   10.40   8.440   8.843   11.29   8.560   9.953   8.595   11.02   10.25   9.097   5.751   6.760   9.287   8.658   6.707   7.766   11.96   11.64   15.00   15.19   14.58   16.88   16.21   11.01   10.64   13.55   10.91   
   11.0    1.432   1.745   2.236   4.567   5.425   6.950   4.584   3.776   4.280   4.265   7.773   9.526   8.890   8.497   9.294   7.312   2.201   5.219   6.593   6.642   10.21   9.331   9.955   7.716   7.359   8.080   7.377   7.617   7.284   6.864   7.365   9.487   10.96   9.598   3.296   4.821   12.06   12.07   12.25   9.574   14.24   13.40   12.09   8.582   7.477   11.39   11.26   10.46   8.658   14.40   12.72   10.31   13.52   3.933   15.61   16.05   16.51   13.69   12.31   12.83   12.96   11.38   10.99   16.30   12.91   10.91   8.852   9.275   11.84   8.977   10.44   9.015   11.55   10.75   9.541   6.031   7.089   9.740   9.081   7.034   8.145   12.54   12.21   15.73   15.93   15.29   17.71   17.01   11.55   11.16   14.21   11.44   
   12.0    1.496   1.822   2.335   4.770   5.666   7.259   4.788   3.944   4.471   4.455   8.118   9.950   9.285   8.875   9.707   7.637   2.299   5.451   6.886   6.937   10.66   9.745   10.40   8.059   7.686   8.439   7.705   7.956   7.608   7.169   7.692   9.909   11.45   10.03   3.442   5.035   12.60   12.61   12.79   10.00   14.87   14.00   12.62   8.964   7.809   11.90   11.76   10.93   9.043   15.04   13.29   10.77   14.12   4.108   16.30   16.77   17.25   14.30   12.86   13.40   13.53   11.89   11.48   17.03   13.49   11.39   9.245   9.688   12.36   9.377   10.90   9.416   12.07   11.23   9.965   6.300   7.405   10.17   9.485   7.347   8.507   13.10   12.75   16.43   16.64   15.97   18.50   17.76   12.06   11.65   14.84   11.95   
   13.0    1.557   1.897   2.430   4.965   5.897   7.555   4.983   4.105   4.653   4.637   8.450   10.36   9.664   9.237   10.10   7.949   2.393   5.673   7.168   7.220   11.10   10.14   10.82   8.388   8.000   8.783   8.019   8.281   7.919   7.462   8.006   10.31   11.91   10.43   3.583   5.240   13.11   13.12   13.31   10.41   15.48   14.57   13.14   9.330   8.128   12.38   12.24   11.37   9.412   15.65   13.83   11.21   14.70   4.276   16.97   17.45   17.95   14.88   13.38   13.95   14.08   12.37   11.95   17.72   14.04   11.86   9.623   10.08   12.87   9.759   11.35   9.800   12.56   11.69   10.37   6.557   7.707   10.59   9.872   7.647   8.855   13.63   13.28   17.11   17.32   16.63   19.25   18.49   12.56   12.13   15.45   12.43   
   14.0    1.616   1.968   2.522   5.152   6.120   7.840   5.172   4.260   4.829   4.812   8.769   10.75   10.03   9.586   10.48   8.249   2.484   5.887   7.438   7.493   11.52   10.53   11.23   8.705   8.302   9.115   8.322   8.594   8.218   7.744   8.309   10.70   12.36   10.83   3.718   5.438   13.61   13.62   13.82   10.80   16.06   15.12   13.64   9.682   8.435   12.85   12.70   11.80   9.767   16.24   14.35   11.63   15.25   4.438   17.61   18.11   18.63   15.45   13.89   14.48   14.62   12.84   12.40   18.39   14.57   12.31   9.986   10.46   13.35   10.13   11.78   10.17   13.04   12.13   10.76   6.804   7.998   10.99   10.24   7.935   9.189   14.15   13.78   17.75   17.97   17.25   19.98   19.18   13.03   12.59   16.03   12.90   
   15.0    1.672   2.037   2.611   5.333   6.335   8.116   5.353   4.409   4.998   4.981   9.076   11.12   10.38   9.922   10.85   8.538   2.571   6.094   7.699   7.756   11.92   10.90   11.62   9.010   8.594   9.435   8.614   8.895   8.506   8.016   8.600   11.08   12.80   11.21   3.848   5.629   14.09   14.09   14.30   11.18   16.63   15.65   14.11   10.02   8.731   13.30   13.15   12.22   10.11   16.81   14.86   12.04   15.79   4.593   18.23   18.74   19.28   15.99   14.38   14.98   15.13   13.29   12.83   19.04   15.08   12.74   10.34   10.83   13.82   10.48   12.19   10.53   13.49   12.56   11.14   7.043   8.279   11.37   10.60   8.214   9.512   14.64   14.26   18.37   18.60   17.86   20.68   19.86   13.49   13.03   16.60   13.36   
   16.0    1.727   2.104   2.696   5.508   6.542   8.382   5.529   4.554   5.162   5.144   9.374   11.49   10.72   10.25   11.21   8.818   2.655   6.294   7.952   8.010   12.31   11.25   12.01   9.306   8.875   9.744   8.897   9.187   8.785   8.279   8.882   11.44   13.22   11.58   3.975   5.814   14.55   14.56   14.77   11.55   17.17   16.16   14.58   10.35   9.017   13.74   13.58   12.62   10.44   17.36   15.35   12.44   16.31   4.744   18.83   19.36   19.91   16.51   14.85   15.47   15.62   13.73   13.25   19.66   15.57   13.15   10.68   11.19   14.28   10.83   12.59   10.87   13.94   12.97   11.51   7.274   8.550   11.75   10.95   8.483   9.823   15.12   14.73   18.98   19.21   18.44   21.36   20.51   13.93   13.46   17.14   13.80   
   17.0    1.780   2.169   2.779   5.677   6.744   8.640   5.699   4.694   5.321   5.302   9.662   11.84   11.05   10.56   11.55   9.090   2.737   6.487   8.196   8.257   12.69   11.60   12.38   9.592   9.149   10.04   9.171   9.470   9.056   8.533   9.156   11.79   13.62   11.93   4.097   5.993   15.00   15.00   15.23   11.90   17.70   16.66   15.03   10.67   9.295   14.16   13.99   13.01   10.76   17.90   15.82   12.82   16.81   4.890   19.40   19.95   20.53   17.02   15.31   15.95   16.11   14.15   13.66   20.27   16.05   13.56   11.00   11.53   14.72   11.16   12.98   11.21   14.36   13.37   11.86   7.498   8.813   12.11   11.29   8.744   10.13   15.59   15.18   19.56   19.80   19.01   22.01   21.14   14.36   13.87   17.67   14.22   
   18.0    1.832   2.232   2.860   5.842   6.939   8.890   5.864   4.830   5.475   5.456   9.943   12.19   11.37   10.87   11.89   9.353   2.816   6.676   8.434   8.496   13.06   11.94   12.73   9.870   9.414   10.34   9.436   9.744   9.318   8.781   9.421   12.14   14.02   12.28   4.216   6.166   15.43   15.44   15.67   12.25   18.21   17.14   15.46   10.98   9.564   14.57   14.40   13.38   11.07   18.42   16.28   13.19   17.30   5.032   19.97   20.53   21.12   17.51   15.75   16.41   16.57   14.56   14.06   20.85   16.52   13.95   11.32   11.86   15.14   11.48   13.35   11.53   14.78   13.76   12.20   7.715   9.069   12.46   11.62   8.998   10.42   16.04   15.62   20.13   20.38   19.56   22.65   21.75   14.78   14.27   18.18   14.63   
