# Z1 Z2 a b c d rms_err(%) max_err(%)
 1  1  1.40846  0.74449  0.20515  0.84176  4.38  8.55
 1  3  0.90886  0.02774  0.17321  0.17097  2.32  4.93
 1  4  1.10803  0.05227  0.17266  0.27892  0.92  2.14
 1  5  1.29080  0.07019  0.16107  0.44603  0.52  1.06
 1  6  1.38070  0.08403  0.15731  0.56266  1.04  2.19
 1  7  1.47716  0.10557  0.15753  0.69788  1.73  4.08
 1  8  1.48938  0.11692  0.15651  0.77766  1.93  4.58
 1  9  1.42299  0.12473  0.15581  0.82205  1.96  4.67
 1 10  1.24505  0.08456  0.15590  0.56428  0.86  1.82
 1 11  1.13830  0.01321  0.21226  0.19593 54.83 98.89
 1 12  0.90643  0.00326  0.02163  0.27008  3.92  6.80
 1 13  0.90606  0.01778  0.13660  0.22581  2.44  4.48
 1 14  0.92796  0.03572  0.17101  0.21278  1.88  4.13
 1 15  0.94210  0.04413  0.17964  0.21182  1.57  3.22
 1 16  0.96522  0.05317  0.18405  0.22379  1.22  2.94
 1 17  0.98501  0.05720  0.18315  0.24134  1.03  2.60
 1 18  0.92869  0.04940  0.19882  0.15604  1.64  3.67
 1 19  0.93277  0.04402  0.19535  0.15505  1.78  3.56
 1 20  0.95398  0.04769  0.19263  0.17404  1.57  3.44
 1 21  0.97736  0.05457  0.19054  0.20107  1.25  3.06
 1 22  0.99289  0.05638  0.18603  0.22605  1.09  2.73
 1 23  1.00567  0.05809  0.18224  0.24942  0.95  2.42
 1 24  1.01431  0.05920  0.17876  0.27065  0.85  2.18
 1 25  1.02487  0.06107  0.17563  0.29437  0.73  1.89
 1 26  1.03088  0.06266  0.17300  0.31549  0.65  1.65
 1 27  1.03357  0.06406  0.17090  0.33352  0.59  1.47
 1 28  1.02525  0.06322  0.16870  0.34262  0.62  1.55
 1 29  1.02578  0.05766  0.16572  0.36145  0.58  1.36
 1 30  1.06446  0.01273  0.09807  0.45613  0.54  1.22
 1 31  0.98913  0.01481  0.10216  0.37789  1.11  1.94
 1 32  0.95510  0.01642  0.11107  0.34159  1.32  2.25
 1 33  0.92777  0.02171  0.12988  0.30577  1.44  2.54
 1 34  0.93991  0.02444  0.13220  0.30363  2.21  4.49
 1 35  0.91525  0.02973  0.14810  0.27311  2.05  4.40
 1 36  0.84222  0.01484  0.13518  0.20708  2.07  3.44
 1 37  0.82610  0.01430  0.14158  0.18300  2.14  3.51
 1 38  0.84080  0.01906  0.15580  0.17378  2.82  5.32
 1 39  0.83521  0.02850  0.17842  0.15789  2.44  5.11
 1 40  0.83569  0.03213  0.18428  0.15396  2.31  4.90
 1 41  0.83464  0.03691  0.19115  0.14810  2.17  4.54
 1 42  0.83465  0.04155  0.19627  0.14446  2.04  4.08
 1 43  0.83677  0.04442  0.19794  0.14589  1.95  3.84
 1 44  0.84056  0.04801  0.19996  0.14725  1.84  3.92
 1 45  0.84369  0.05047  0.20082  0.14956  1.77  3.93
 1 46  0.84423  0.05074  0.20066  0.15066  1.75  3.92
 1 47  0.84096  0.04841  0.19943  0.14983  1.82  3.90
 1 48  0.83636  0.04713  0.22812  0.14321  2.01  4.04
 1 49  0.84890  0.02961  0.19038  0.17539  1.84  3.65
 1 50  0.83677  0.02935  0.18388  0.16183  1.77  3.38
 1 51  0.82334  0.03419  0.19407  0.13700  1.73  3.41
 1 52  0.82057  0.03561  0.19762  0.13013  1.75  3.59
 1 53  0.81724  0.03775  0.20225  0.12186  1.80  3.74
 1 54  0.80768  0.01928  0.18150  0.12706  1.74  3.03
 1 55  0.80813  0.02125  0.18741  0.12019  1.74  2.98
 1 56  0.81300  0.02690  0.19409  0.11989  1.73  3.13
 1 57  0.79818  0.03417  0.21789  0.08025  1.96  3.86
 1 58  0.83414  0.02087  0.17027  0.16396  1.45  2.55
 1 59  0.83983  0.01993  0.16459  0.17658  1.38  2.47
 1 60  0.84478  0.01899  0.15910  0.18865  1.32  2.40
 1 61  0.84901  0.01816  0.15411  0.20018  1.27  2.33
 1 62  0.85374  0.01716  0.14856  0.21252  1.22  2.27
 1 63  0.85841  0.01607  0.14273  0.22520  1.18  2.21
 1 64  0.85108  0.02004  0.15087  0.21783  1.23  2.26
 1 65  0.86845  0.01380  0.13116  0.25154  1.11  2.09
 1 66  0.87334  0.01277  0.12604  0.26429  1.10  2.16
 1 67  0.87628  0.01193  0.12131  0.27480  1.09  2.18
 1 68  0.87938  0.01067  0.11431  0.28598  1.08  2.20
 1 69  0.88014  0.00823  0.09804  0.29531  1.08  2.12
 1 70  0.85511  0.00286  0.03054  0.27826  1.36  2.44
 1 71  0.83824  0.01585  0.13465  0.23435  1.31  2.35
 1 72  0.82853  0.01968  0.14637  0.22323  1.39  2.39
 1 73  0.82416  0.02072  0.14968  0.21863  1.42  2.43
 1 74  0.81747  0.02311  0.15652  0.20952  1.45  2.69
 1 75  0.81103  0.02584  0.16349  0.20022  1.48  2.96
 1 76  0.80646  0.02780  0.16800  0.19429  1.50  3.10
 1 77  0.82445  0.02698  0.16027  0.20755  2.38  4.94
 1 78  0.82155  0.02632  0.16006  0.20457  2.42  4.99
 1 79  0.79332  0.02744  0.17157  0.18083  1.55  3.20
 1 80  0.79381  0.01796  0.15135  0.19125  1.61  2.75
 1 81  0.78861  0.01533  0.14545  0.18894  1.64  2.86
 1 82  0.78054  0.01513  0.14855  0.17691  1.72  2.95
