# nexp = 3
# Z1 Z2     a1        b1       a2       b2       a3       b3  rmax[A]    error
 1  1  6.30716   1.09070  3.63883  0.00073  0.00000  1.00000  0.38100  0.00228
 1  2  0.81524   5.44168  0.44725  0.63524  0.00000  1.00000  2.21521  0.01253
 1  3  0.47217   9.91211  9.99990  0.21813  0.00000  1.00000  0.94000  0.01988
 1  4  0.35142  12.39991  9.99990  0.34249  0.00000  1.00000  0.89500  0.00923
 1  5  0.29615  13.86097  6.28390  0.54774  0.00000  1.00000  0.80300  0.00595
 1  6  0.20825  18.13424  1.59550  1.65975  0.00000  1.00000  0.72200  0.00640
 1  7  0.16364  21.81870  1.34267  2.24490  0.00000  1.00000  0.67200  0.00597
 1  8  0.13754  24.87375  1.30694  2.61792  0.00000  1.00000  0.63300  0.00470
 1  9  0.10966  29.30338  1.19423  3.20915  0.00000  1.00000  0.60100  0.00459
 1 10  0.94828   5.52724  9.99990  0.05003  0.00000  1.00000  2.04000  0.02454
 1 11  0.89073   6.10929  0.00000  1.00000  0.00000  1.00000  1.17400  0.01785
 1 12  0.75440   7.51114  9.99990  0.14516  0.00000  1.00000  1.22700  0.01685
 1 13  0.68214   8.51980  9.99990  0.18771  0.00000  1.00000  1.11600  0.01378
 1 14  0.61610   9.62445  9.99990  0.23720  0.00000  1.00000  1.01700  0.01082
 1 15  0.58177  10.26165  9.99990  0.26770  0.00000  1.00000  0.96200  0.00837
 1 16  0.54343  11.12688  6.48042  0.38553  0.00000  1.00000  0.91700  0.00758
 1 17  0.47081  12.80520  1.35056  1.21670  0.00000  1.00000  0.87900  0.00753
 1 18  0.26719  20.60897  0.72693  3.51986  0.00000  1.00000  1.98000  0.01406
 1 19  0.21067  24.74309  0.72833  4.18534  0.00000  1.00000  1.44400  0.01402
 1 20  0.21481  24.34665  0.73146  4.14588  0.00000  1.00000  1.28900  0.00888
 1 21  0.19890  26.54448  0.75891  4.22709  0.00000  1.00000  1.16300  0.00969
 1 22  0.18244  28.46614  0.77573  4.41835  0.00000  1.00000  1.11100  0.00907
 1 23  0.17045  30.07704  0.78980  4.57794  0.00000  1.00000  1.07100  0.00782
 1 24  0.15982  31.64045  0.80178  4.73942  0.00000  1.00000  1.03700  0.00722
 1 25  0.14538  34.28373  0.81703  4.93774  0.00000  1.00000  1.00800  0.00700
 1 26  0.13402  36.71713  0.82906  5.12661  0.00000  1.00000  0.98300  0.00671
 1 27  0.12652  38.59430  0.83817  5.28303  0.00000  1.00000  0.96100  0.00622
 1 28  0.12382  39.04188  0.84003  5.42745  0.00000  1.00000  0.94800  0.00639
 1 29  0.10673  44.20497  0.82854  5.83434  9.99990  0.07245  0.96100  0.00648
 1 30  0.08050  56.12282  0.81040  6.49707  9.99990  0.10897  1.17100  0.00704
 1 31  0.06861  64.39530  0.80155  6.91151  9.99990  0.11551  1.12900  0.00773
 1 32  0.05278  82.32025  0.77905  7.54376  9.99990  0.14419  1.07000  0.00898
 1 33  0.05312  80.26047  0.76132  7.81108  9.99990  0.15747  1.04100  0.00707
 1 34  0.04965  84.79679  0.74378  8.17685  9.99990  0.17395  1.01400  0.00690
 1 35  0.05163  79.89608  0.72467  8.42286  9.99990  0.18856  0.99300  0.00655
 1 36  0.03207 124.04987  0.54970 10.72819  0.41789  3.07492  1.95100  0.00748
 1 37  0.02640 145.20305  0.46903 12.24559  0.47249  3.73314  1.56800  0.00862
 1 38  0.02808 136.39339  0.50105 11.99432  0.44850  3.35901  1.42900  0.00611
 1 39  0.02154 178.85322  0.47238 13.15522  0.48872  3.43902  1.27700  0.00650
 1 40  0.02103 180.61853  0.46764 13.47737  0.50107  3.39739  1.21800  0.00592
 1 41  0.01892 199.10471  0.44880 14.22479  0.52436  3.48370  1.17400  0.00558
 1 42  0.01683 219.58442  0.43139 15.01828  0.54730  3.56508  1.13800  0.00550
 1 43  0.41685  17.05383  0.58065  3.70890  0.00000  1.00000  1.10700  0.00763
 1 44  0.39907  17.94849  0.60120  3.80285  0.00000  1.00000  1.08400  0.00751
 1 45  0.38696  18.63914  0.61480  3.88222  0.00000  1.00000  1.06500  0.00717
 1 46  0.36960  19.59653  0.63048  4.01311  0.00000  1.00000  1.08400  0.00686
 1 47  0.35162  20.60066  0.64107  4.19017  0.00000  1.00000  1.12900  0.00676
 1 48  0.31711  22.40144  0.63430  4.70018  9.99990  0.05972  1.32300  0.00716
 1 49  0.29229  23.99795  0.64002  5.04309  9.99990  0.06779  1.29200  0.00722
 1 50  0.27502  25.19012  0.63834  5.33919  9.99990  0.07898  1.22900  0.00714
 1 51  0.26346  25.95905  0.61884  5.68139  9.99990  0.10568  1.20000  0.00608
 1 52  0.24813  27.26070  0.61527  5.99125  9.99990  0.11955  1.17700  0.00562
 1 53  0.24206  27.83875  0.60771  6.18660  9.99990  0.12981  1.15700  0.00537
 1 54  0.13396  40.32871  0.47760  9.75449  0.39141  2.84854  1.94400  0.00781
 1 55  0.11170  44.56908  0.42223 11.29333  0.44998  3.37636  1.64800  0.00704
 1 56  0.13120  42.07017  0.47319  9.82183  0.39455  2.95258  1.39600  0.00613
 1 57  0.11493  44.43191  0.45135 11.07365  0.43196  2.95596  1.39400  0.00586
 1 58  0.04543  84.24075  0.35332 16.25476  0.58127  4.25030  1.64600  0.01188
 1 59  0.04676  82.76075  0.34197 16.47955  0.59132  4.36835  1.63900  0.01144
 1 60  0.04489  86.18528  0.33232 16.92206  0.60273  4.49198  1.63300  0.01167
 1 61  0.04258  90.69365  0.32321 17.42159  0.61395  4.61597  1.62700  0.01162
 1 62  0.04290  90.85943  0.31502 17.65390  0.62177  4.72482  1.62200  0.01131
 1 63  0.04300  91.84316  0.30834 17.84356  0.62831  4.82830  1.61700  0.01105
 1 64  0.09929  55.54514  0.41161 11.37560  0.47652  4.14608  1.39000  0.00657
 1 65  0.04223  94.72854  0.29584 18.36743  0.64154  5.02978  1.60700  0.01100
 1 66  0.03941 101.03897  0.29140 18.85028  0.64879  5.12799  1.60200  0.01085
 1 67  0.03690 108.28137  0.28888 19.22764  0.65382  5.21449  1.59600  0.01106
 1 68  0.04124 101.14733  0.29073 18.60873  0.64784  5.24882  1.59100  0.01033
 1 69  0.06610  73.51938  0.31130 15.43840  0.60257  5.11978  1.58400  0.00782
 1 70  0.28424  24.62560  0.66896  5.84034  9.99990  0.04508  1.61600  0.01172
 1 71  0.11366  53.28724  0.52187  9.88937  0.35184  3.80429  1.28700  0.00371
 1 72  0.10341  57.63019  0.52453 10.30979  0.36195  3.79167  1.22300  0.00376
 1 73  0.10107  59.01910  0.53863 10.34112  0.35298  3.67277  1.18800  0.00355
 1 74  0.09640  61.96344  0.54481 10.52958  0.35500  3.59683  1.16000  0.00357
 1 75  0.09270  64.10715  0.54608 10.74878  0.36159  3.54190  1.13700  0.00362
 1 76  0.08506  68.99362  0.53761 11.21259  0.38032  3.58638  1.11800  0.00359
 1 77  0.07901  74.10890  0.53149 11.60544  0.39380  3.62864  1.10300  0.00354
 1 78  0.07425  78.45568  0.51931 12.03820  0.41006  3.71984  1.13400  0.00357
 1 79  0.06736  85.75699  0.50099 12.66365  0.42961  3.90932  1.18100  0.00348
 1 80  0.10580  55.37208  0.52440 11.01183  0.36677  3.61419  1.38300  0.00550
 1 81  0.11468  51.78135  0.51542 10.89760  0.35942  3.70372  1.36300  0.00602
 1 82  0.12845  47.86839  0.53989 10.29647  0.31988  3.44639  1.30900  0.00574
 1 83  0.16157  40.22288  0.57307  9.25569  0.26620  2.83277  1.27800  0.00591
 1 84  0.17715  37.64319  0.58686  8.86413  0.24825  2.46125  1.25900  0.00589
 1 85  0.17665  37.96950  0.59726  8.85752  0.25280  2.20435  1.24400  0.00556
 1 86  0.11526  54.45165  0.60167 10.33695  0.28617  2.72119  1.96700  0.00647
 1 87  0.08909  67.01241  0.57028 11.59269  0.32940  3.19318  1.91500  0.00511
 1 88  0.12431  51.09687  0.60048 10.27290  0.27787  2.54500  1.52900  0.00389
 1 89  0.08926  67.62169  0.59921 11.38605  0.31230  2.74355  1.48500  0.00461
 1 90  0.08059  74.48436  0.59475 11.82101  0.32759  2.76905  1.44200  0.00395
 1 91  0.09997  58.77020  0.51375 12.25236  0.38614  3.44123  1.33000  0.00402
 1 92  0.08797  66.71524  0.49879 12.99004  0.41149  3.64097  1.31300  0.00417
 2  2  0.34947  11.94261  0.75114  1.78139  0.00000  1.00000  1.85852  0.02165
 2  3  0.08525  36.87060  0.91074  3.19917  0.00000  7.05882  3.77400  0.04747
 2  4  0.91322   4.16629  0.24744  0.41140  0.00000  1.00000  2.93395  0.04789
 2  5  0.99131   3.94472  0.00000  1.00000  0.00000  1.00000  2.69200  0.03402
 2  6  0.99660   4.49197  0.00000  1.00000  0.00000  1.00000  2.46200  0.04185
 2  7  0.99852   5.21519  0.00000  1.00000  0.00000  1.00000  2.29600  0.08442
 2  8  1.04554   4.68428  0.00000  1.00000  0.00000  1.00000  0.99600  0.02183
 2  9  0.65787   6.86927  0.34270  3.11280  0.00000  1.00000  2.12600  0.03073
 2 10  0.61331   8.79625  0.41207  2.16235  0.00000  1.00000  1.98950  0.03786
 2 11  0.36972  13.89837  0.62956  3.11260  0.00000  1.00000  3.84800  0.05107
 2 12  0.38636  13.42067  0.60958  3.03654  0.00000  1.00000  3.42000  0.02977
 2 13  0.32203  16.48238  0.67684  3.24132  0.00000  1.00000  3.20700  0.02727
 2 14  0.20944  26.56140  0.78936  3.67428  0.00000  1.00000  3.03700  0.04396
 2 15  0.99694   4.33287  0.00000  1.00000  0.00000  1.00000  2.87000  0.10502
 2 16  0.99564   4.71575  0.00000  1.00000  0.00000  1.00000  2.74200  0.12480
 2 17  0.24180  21.33315  0.73887  3.86327  0.15397  0.21956  2.65600  0.01917
 2 18  0.10143  38.27342  0.63350  6.34127  0.28008  1.83553  2.45856  0.02316
 2 19  0.51384  10.17962  0.48613  2.72993  0.00000  1.00000  4.37200  0.03599
 2 20  0.09468  38.47714  0.43811  8.09353  0.46446  2.85714  4.13900  0.02295
 2 21  0.32602  16.35106  0.67230  3.51542  0.00000  1.00000  3.79600  0.03614
