# Z1 Z2 a b c d rms_err(%) max_err(%)
 1  1  8.14787 -1.05146  2.23305 -2.00174  0.28  0.65
 1  2  0.09994 -1.95364  9.97493 -1.10031  0.76  1.76
 1  3  0.27447 -1.99968  8.43248 -0.86900  1.92  4.17
 1  4  0.30524 -1.98838  7.72249 -0.88895  1.53  2.73
 1  5  0.35628 -1.98684  7.52726 -0.91410  1.50  3.26
 1  6  0.40929 -1.98785  7.56755 -0.93612  1.42  3.23
 1  7  0.44601 -1.98806  7.74363 -0.95849  1.45  3.14
 1  8  0.47831 -1.98812  7.97876 -0.97987  1.49  3.05
 1  9  0.50232 -1.98928  8.28159 -0.99966  1.46  2.77
 1 10  0.07532 -1.93323  8.26155 -1.22235  4.07  7.96
 1 11  0.08381 -2.02830  9.08529 -1.09181  1.63  3.71
 1 12  0.08995 -2.00909  9.23809 -1.02219  1.25  2.39
 1 13  0.11464 -2.00050  9.16050 -0.98120  1.33  2.88
 1 14  0.14324 -1.99351  9.03307 -0.95838  1.33  2.69
 1 15  0.16113 -1.98989  8.91068 -0.95008  1.37  2.63
 1 16  0.17858 -1.98636  8.84470 -0.94408  1.45  3.07
 1 17  0.19561 -1.98300  8.81062 -0.93992  1.57  3.20
 1 18  0.28604 -1.78478  8.45325 -0.98495  5.58 11.10
 1 19  0.07407 -1.97550  8.61385 -1.02999  3.95  8.14
 1 20  0.09647 -1.96962  8.58388 -1.01855  3.60  7.55
 1 21  0.12165 -1.96482  8.56936 -1.01635  3.74  7.52
 1 22  0.12851 -1.96659  8.58908 -1.02318  3.60  7.48
 1 23  0.13495 -1.96719  8.62023 -1.03007  3.60  7.46
 1 24  0.14050 -1.96785  8.66379 -1.03667  3.59  7.41
 1 25  0.14513 -1.96856  8.70685 -1.04575  3.62  7.41
 1 26  0.14928 -1.96912  8.77122 -1.05379  3.64  7.38
 1 27  0.15394 -1.96897  8.84454 -1.06022  3.67  7.37
 1 28  0.15376 -1.97031  8.94275 -1.06519  3.65  7.34
 1 29  0.14612 -1.97125  9.01922 -1.07266  3.62  7.25
 1 30  0.10405 -1.96467  9.06146 -1.09204  3.65  6.87
 1 31  0.08940 -1.98612  9.22562 -1.07888  2.90  5.86
 1 32  0.09526 -1.98954  9.34564 -1.05937  2.03  4.74
 1 33  0.10009 -1.98889  9.42406 -1.04715  1.74  4.16
 1 34  0.10523 -1.98795  9.48775 -1.03578  1.41  3.59
 1 35  0.11145 -1.98515  9.52126 -1.02577  1.27  3.18
 1 36  0.18531 -1.80725  9.31553 -1.03044  3.31  5.99
 1 37  0.05319 -1.96429  9.38137 -1.05924  3.29  5.96
 1 38  0.06805 -1.95751  9.42216 -1.03371  2.70  4.88
 1 39  0.08363 -1.95826  9.44883 -1.01777  2.52  4.94
 1 40  0.09147 -1.95764  9.44941 -1.01094  2.51  5.02
 1 41  0.09870 -1.95625  9.44900 -1.00621  2.59  5.22
