# Z1 Z2 a b c d rms_err(%) max_err(%)
 1  1  1.12800  0.80443 -0.00585  0.35657  0.78  1.54
 1  2  0.84931  0.00619 -0.09293  0.33850  4.46  7.69
 1  3  0.80305  0.07035 -0.00438 -0.00649  2.70  5.19
 1  4  0.94038  0.07897 -0.00835  0.06766  1.77  3.60
 1  5  1.01688  0.09410 -0.01255  0.13480  1.39  2.96
 1  6  1.05746  0.10991 -0.01578  0.19468  1.13  2.29
 1  7  1.07491  0.11923 -0.01796  0.25125  0.92  1.62
 1  8  1.08987  0.12694 -0.02001  0.31264  0.84  1.31
 1  9  1.09216  0.13170 -0.02244  0.37011  0.92  1.44
 1 10  1.41603  0.00133 -0.23126  0.85174  3.63  6.25
 1 11  0.94303  0.01189 -0.10343  0.33166  5.04  9.00
 1 12  0.82978  0.01413 -0.06273  0.16956  4.37  7.57
 1 13  0.81616  0.02101 -0.03845  0.11918  3.69  5.82
 1 14  0.82407  0.02801 -0.02668  0.10355  3.15  5.77
 1 15  0.83795  0.03224 -0.02272  0.10347  2.88  5.62
 1 16  0.84747  0.03599 -0.01981  0.10602  2.64  5.36
 1 17  0.85541  0.03927 -0.01796  0.11152  2.37  4.86
 1 18  1.06318  0.00757 -0.02411  0.32482  2.13  4.35
 1 19  0.92122  0.00780 -0.07768  0.19452  1.81  3.19
 1 20  0.93802  0.01154 -0.06204  0.20372  1.53  2.29
 1 21  0.96081  0.01553 -0.05384  0.22914  1.28  1.99
 1 22  0.97087  0.01664 -0.05527  0.24922  1.24  1.89
 1 23  0.98065  0.01749 -0.05671  0.27020  1.22  1.96
 1 24  0.98838  0.01818 -0.05821  0.29026  1.21  2.04
 1 25  0.99976  0.01862 -0.06078  0.31618  1.22  2.14
 1 26  1.00740  0.01894 -0.06307  0.34008  1.24  2.23
 1 27  1.01287  0.01928 -0.06461  0.36165  1.25  2.26
 1 28  1.00782  0.01892 -0.06709  0.37291  1.32  2.38
 1 29  1.00179  0.01706 -0.07223  0.38153  1.44  2.53
 1 30  0.96846  0.00830 -0.09667  0.36276  1.94  3.13
 1 31  0.90428  0.00856 -0.09469  0.29860  2.62  4.11
 1 32  0.86808  0.01060 -0.08029  0.25672  2.78  4.42
