 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> Februar 11, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Arsenic in Silicon.txt

 Ion = Arsenic [33] , Mass = 74,92 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1,1 eV    6,996E-02  7,100E-01       2 A         1 A         1 A   
    1,2 eV    6,996E-02  7,543E-01       2 A         1 A         1 A   
    1,3 eV    7,281E-02  7,973E-01       2 A         1 A         1 A   
    1,4 eV    7,556E-02  8,393E-01       2 A         1 A         1 A   
    1,5 eV    7,822E-02  8,803E-01       2 A         1 A         1 A   
    1,6 eV    8,078E-02  9,203E-01       3 A         1 A         1 A   
    1,7 eV    8,327E-02  9,595E-01       3 A         1 A         1 A   
    1,8 eV    8,568E-02  9,980E-01       3 A         1 A         1 A   
      2 eV    9,032E-02  1,073E+00       3 A         1 A         1 A   
   2,25 eV    9,579E-02  1,163E+00       3 A         1 A         1 A   
2,49999 eV    1,010E-01  1,249E+00       3 A         1 A         1 A   
2,74999 eV    1,059E-01  1,332E+00       3 A         1 A         1 A   
2,99999 eV    1,106E-01  1,413E+00       3 A         1 A         1 A   
3,24999 eV    1,151E-01  1,492E+00       3 A         1 A         1 A   
3,49999 eV    1,195E-01  1,568E+00       4 A         1 A         1 A   
3,74999 eV    1,237E-01  1,642E+00       4 A         2 A         1 A   
3,99999 eV    1,277E-01  1,715E+00       4 A         2 A         1 A   
4,49999 eV    1,355E-01  1,855E+00       4 A         2 A         1 A   
4,99999 eV    1,428E-01  1,989E+00       4 A         2 A         1 A   
5,49999 eV    1,498E-01  2,119E+00       4 A         2 A         1 A   
